idIgreja,NomeIgreja,Cidade,UF,vocativo,NomeSecretárioConselho,EmailSecretárioConselho,Classe,Obs,Endereço,Coords,LocalizadorCurto
82,Segunda Igreja Presbiteriana de Taguatinga,Brasília,DF,a,Rev. Jefferson Batista Neres,rev.jeffersonipb@yahoo.com.br,1.Igreja filiada à IPB,,,,
83,Igreja Vivo por Ti,Brasília,DF,a,,,2.Igreja evangélica não IPB,http://vivoporti-igrejaemmovimento.blogspot.com.br,,,
84,Primeira Igreja Batista de Blumenau- Santa Catarina,Blumenau,SC,a,,,2.Igreja evangélica não IPB,,,,
85,Ministério Braço Forte do Senhor,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
86,Igreja Batista de Florianópolis,Florianópolis,SC,a,,,2.Igreja evangélica não IPB,,,,
87,Igreja Presbiteriana do Setor Bueno,Goiânia,GO,a,Giovanni Zardini,,1.Igreja filiada à IPB,"http://www.ipsbueno.com.br/; Rua T-29, Qd-54, Lt-11 - Setor Bueno - Goiânia - Go
(62)3092-7980 | 7985",,,
88,Comunidade Presbiteriana de Aracaju,Aracaju,SE,a,Rev. Ricardo Carvalho e Rev. Emerson Profirio,ricbel@uol.com.br; emersonprofirio@yahoo.com.br,1.Igreja filiada à IPB,,,,
89,Igreja Presbiteriana de Brazlândia (Congr. Aliança),Brasília,DF,a,,,1.Igreja filiada à IPB,,,,
90,Igreja Batista Regular do Calvário,Anápolis,GO,a,,,2.Igreja evangélica não IPB,,,,
91,Primeira Igreja Presbiteriana do Riacho Fundo,Brasília,DF,a,Rev. Jolson Barbosa Lima (061 8252-8100),jolson.bl@gmail.com,1.Igreja filiada à IPB,3399-7466; Rev Jolson 8252 8100,"Rev. Jolson Barbosa Lima
QN 7 – Conjunto 17 – Casa 11 – CEP: 71805-717 – Riacho Fundo I-DF
Fone: (61) 8252 8100
E-mail: jolson.bl@gmail.com.br",,
92,Igreja Viva,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
93,Igreja Assembleia de Deus da Estrutural (Ministério Madureira),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
94,Comunidade Boas Novas,Goiânia,GO,a,,,2.Igreja evangélica não IPB,,,,
95,Igreja Presbiteriana de Assis,Farroupilha,RS,a,Rev. Geraldo Mescoloto,mescoloto@hotmail.com,1.Igreja filiada à IPB,,,,
96,Igreja Presbiteriana do Bairro de Fátima,Serra,ES,a,,,1.Igreja filiada à IPB,,,,
97,Primeira Igreja Batista da Ceilândia,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
98,Igreja Presbiteriana de Ceres,Ceres,GO,a,,,1.Igreja filiada à IPB,,,,
99,Igreja Presbiteriana de Santa Bárbara d’Oeste,Santa Bárbara d’Oeste,SP,a,,,1.Igreja filiada à IPB,,,,
100,Igreja Batista Alemã de São Paulo,São Paulo,SP,a,,,2.Igreja evangélica não IPB,,,,
101,Igreja Batista do Lago Norte,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
102,Quarta Presbiteriana de Patos de Minas,Patos de Minas,MG,a,,,1.Igreja filiada à IPB,,,,
103,Primeira Igreja Presbiteriana de Porto Velho,Porto Velho,RO,a,"Rev. Ewerton Barcelos Tokashiki, Rev. Esli Soares; Presb. Rogério Bernini Jr",rogerioberninijr@gmail.com; contato@ipportovelho.com.br,1.Igreja filiada à IPB,69 32214134 ; (69) 8124-6854; Rua; eslisoares@gmail.com,"Rua Almirante Barroso, 1180, Centro, Porto Velho/RO, fone (69)3221-4134",,
104,"Assembleia de Deus El Shadai, Taguatinga",Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
105,Cruzada Cristã de Evangelização,Brasília,DF,a,,,2.Igreja evangélica não IPB,,QSD 15 - Tag Sul,,
106,Gateshead Presbyterian Church,NewCastle,UK,a,,,2.Igreja evangélica não IPB,,,,
107,Igreja Presbiteriana do Catolé,Campina Grande,PB,a,,,1.Igreja filiada à IPB,,,,
108,Igreja Presbiteriana Mosaico,Goiânia,GO,a,Rev. Luciano Pires,,1.Igreja filiada à IPB,,"Av. T53, 480, Setor Bueno, Goânia-GO, Brasil",,
109,Primeira Igreja Presbiteriana de Sobradinho,Brasília,DF,a,Rev. Juscely dos Santos,1ipsobradinho@gmail.com; juscely2003@yahoo.com.br,1.Igreja filiada à IPB,062 9-9623-6383,,,
110,Igreja Cristã Evangélica de Brasília (309/310N),Brasília,DF,a,,,2.Igreja evangélica não IPB,,SQN 309/310,,
111,Terceira Igreja Presbiteriana de Taguatinga,Brasília,DF,a,Rev. Geomário Moreira Carneiro e Presb. Jorge Afonso Marques de Souza,geomario@terra.com.br; secretaria@3ipt.org.br,1.Igreja filiada à IPB,http://www.3ipt.org.br/,,,
112,Quarta Igreja Presbiteriana de Taguatinga,Brasília,DF,a,Romildo L. de Freitas (Pastor Efetivo) e Presb. Denilson Cornélio Rosa (Secretário do Conselho),quartaipt@gmail.com;denilson.cr6@gmail.com,1.Igreja filiada à IPB,"61 3475-4411, secretária Marília",,,
113,Igreja Batista Filadélfia Independente,Guanambi,BA,a,,,2.Igreja evangélica não IPB,,,,
114,Comunidade Evangélica Sara Nossa Terra,Brasília,DF,a,,,3.outra origem,,,,
115,Primeira Igreja Presbiteriana de Teresina,Terezina,PI,a,Rev. Rodrigo Brotto,,1.Igreja filiada à IPB,,,,
116,Igreja de Deus (em Sobradinho),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
117,Igreja Batista Peniel,Resende,RJ,a,,,2.Igreja evangélica não IPB,,,,
118,Igreja Batista Jardim Floresta,Boa Vista,RR,a,,,2.Igreja evangélica não IPB,Telefone:(95) 3625-7142,"Av. Princesa Isabel, 2840 - Tancredo Neves, Boa Vista - RR, 69312-175",,
119,Igreja Batista Ebenézer do Guará II,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
120,Igreja Nova Vida do Guará,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
121,Igreja Novo Tempo,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
122,Igreja Batista Esperança de Taguatinga Sul,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
123,Assembleia de Deus – Ministério de Brasília,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
124,Igreja Batista Asa Sul,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
125,"Ministério Núcleo da Fé, Núcleo Bandeirante",Brasília,DF,o,,,2.Igreja evangélica não IPB,,,,
126,Igreja Evangélica Assembleia de Deus Novo Dia,Brasília,DF,a,Pastor Hadman Daniel,,2.Igreja evangélica não IPB,,Avenida L2 Sul - Quadra 611 - Módulo 77 - CEP 70200-710 Brasília/DF,,
127,Igreja Presbiteriana de Anápolis (Central),Anápolis,GO,a,Rev. Samuel Vieira,revsamuca@gmail.com;ipasecretaria@gmail.com,1.Igreja filiada à IPB,,,,
128,Igreja de Cristo,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
129,Comunidade das Nações,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
130,Igreja Presbiteriana de Cuiabá,Cuiabá,MT,a,Rev. Marcos Antonio Serjo da Costa,rev.marcosserjo@ipcuiaba.org.br; secretaria@ipcuiaba.org.br,1.Igreja filiada à IPB,,,,
131,Igreja Presbiteriana de Quirinópolis,Quirinópolis,GO,a,,,1.Igreja filiada à IPB,,,,
132,Igreja Evangélica Assembléia de Deus em Taguatinga (ADTAG - Ministério Madureira),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
133,"Igreja de Deus no Brasil, do Guará I",Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
134,Igreja Batista das Nações (Ceilândia),Brasília,DF,a,Pr. Jair Vieira,igreja.nacoes@gmail.com,2.Igreja evangélica não IPB,,,,
135,Igreja Batista Central de Taguatinga,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
136,Segunda Igreja Presbiteriana Independente do Rio de Janeiro,Rio de Janeiro,RJ,a,,,2.Igreja evangélica não IPB,,,,
137,Igreja Assembleia de Deus do Guará II,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
138,Igreja Presbiteriana do Jardim Botânico,Brasília,DF,a,Rev. Ithamar Clímaco Ximenes Filho,mazinho_@hotmail.com; ipjb@ipjb.org.br,1.Igreja filiada à IPB,,,,
139,Cascade Christian Church (Disciples of Christ),USA,USA,a,,,2.Igreja evangélica não IPB,,,,
140,Igreja Cristã Evangélica de Fortaleza,Fortaleza,CE,a,,,2.Igreja evangélica não IPB,,,,
141,Igreja de Cristo no Veredão,Brasília,DF,a,,,2.Igreja evangélica não IPB,,"Sh Arniqueiras/Colônia Agrícola Vereda Grande Chac 62A Conjunto B 2, Brasília - DF",,
142,Igreja Cristã de Confissão Reformada (Taguatinga),Brasília,DF,a,,,2.Igreja evangélica não IPB,http://www.iccrbrasilia.com/,,,
143,Igreja Presbiteriana Manancial,Brasília,DF,a,Rev. Helder Rodrigues de Souza,pr.helder@gmail.com; ig.presb.manancial@gmail.com; henriquejersey@hotmail.com,1.Igreja filiada à IPB,Setor Habitacional Tororó - Santa Maria/DF,,,
144,Igreja Batista Koinonia de Águas Claras,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
145,Igreja Presbiteriana de Icoaraci,Belém,PA,a,Rev. Edinaldo Araújo,revedivdm@gmail.com,1.Igreja filiada à IPB,91-985228167,,,
146,Igreja Presbiteriana Renovada (Gama),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
147,Igreja Cristã Evangélica de Fortaleza (ICEF),Fortaleza,CE,a,,,2.Igreja evangélica não IPB,,,,
148,Igreja Cristã Evangélica de Águas Claras,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
149,Ministério Internacional Vida Abundante (em Ceilândia),Brasília,DF,o,,,2.Igreja evangélica não IPB,,,,
150,Igreja Metodista Wesleyana,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
151,Igreja Presbiteriana Independente do Cruzeiro,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
153,Ministério Grão de Mostarda,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
154,Igreja Batista Cristã de Brasília,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
155,Assembleia de Deus em Taguatinga (ADET),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
156,Igreja Batista Permanecer,Brasília,DF,a,Pastor Elias de Medeiros Guimarães,elias.guimaraes@tjdft.jus.br; eliasccp@gmail.com,2.Igreja evangélica não IPB,,,,
157,"Clear Water Church, Anchorage, Alaska",Anchorage,Alaska/USA,a,,,3.outra origem,,,,
158,Igreja Bíblica Reformada da Aliança - IBRA,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
159,Igreja Reformada do Brasil Maranata em Unaí/MG,Unaí,DF,a,Rev. Marcel Mattos Tavares,,2.Igreja evangélica não IPB,http://igrejasreformadasdobrasil.org/igrejas/distrito-federal/igreja-reformada-em-brasilia,QNG 27 lote 24 lojas 04 e 05 (Em frente ao CRAS Taguatinga),,
160,Igreja Local (Watchman Nee/Witness Lee),Brasília,DF,a,,,3.outra origem,,,,
161,Ministério Batista da Graça de Resente,Resende,RJ,o,,,2.Igreja evangélica não IPB,,,,
162,Comunidade Evangélica da Fé,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
163,Igreja de Nova Vida - Areal,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
164,Igreja Batista Filadélfia (em Taguatinga),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
165,Igreja Presbiteriana em Bangu,Rio de Janeiro,RJ,a,,,1.Igreja filiada à IPB,,,,
166,Igreja Aliança Cristã e Missionária Ebenézer do Gama,Brasília,DF,a,Rev. Abisai Nunes De Lima,abisai@uol.com.br,2.Igreja evangélica não IPB,,,,
167,Igreja Comunidade Cristã Fruto do Espírito,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
168,Igreja Presbiteriana da Alvorada,Brasília,DF,a,Rev. Lincon Leiva Luiz Alves e Presb. Adilson Degani,ipa@ipalvorada.org.br,1.Igreja filiada à IPB,(61) 3273-5791 (61) 3340-2981; SQN 410 Área Especial Asa Norte Brasília-DF,,,
169,Igreja Presbiteriana do Campo Belo,São Paulo,SP,a,Rev. Valdeci Santos,val.saints@terra.com.br;efcoutinhojr@hotmail.com;fb.coutinho@uol.com.br,1.Igreja filiada à IPB,,,,
170,Segunda Igreja Batista do Plano Piloto - Cruzeiro Velho  - DF,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
171,Igreja Batista Peniel em Santa Maria,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
172,Igreja Presbiteriana do Encontro Vinho Novo,Brasília,DF,a,Rev. Samuel Costa,samuelcosta1@yahoo.com.br,1.Igreja filiada à IPB,,,,
173,Igreja Batista Deus é Luz (Águas Claras),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
174,Faith Vancouver Presbyterian Church,Vancouver,British Columbia/CA,a,,,2.Igreja evangélica não IPB,,,,
175,Igreja da Reconciliação (Samambaia),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
176,Igreja Batista Primeiro de Julho (Taguatinga),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
177,Igreja Cristã Mover de Deus,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
178,Igreja Presbiteriana Redenção,Brasília,DF,a,Presb. Cláudio Cruz,claudiosilvadacruz@gmail.com,1.Igreja filiada à IPB,,,,
179,Igreja Batista Palavra Viva - Águas Claras,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
180,"Igreja Plenitude, Taguatinga Sul",Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
181,Igreja Cristã Evangélica Maranata (Gama),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
183,Igreja Evangélica Resgate (Vila Velha/ES),Vila Velha,ES,a,,,2.Igreja evangélica não IPB,,,,
184,Bridges Church,Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
185,Igreja Presbiteriana das Palmeiras,Brasília,DF,a,Rev. Dalzir Rodrigues,dalzirsilva@gmail.com,1.Igreja filiada à IPB,,,,
186,Igreja Batista do Calvário (Sobradinho),Brasília,DF,a,,,2.Igreja evangélica não IPB,,,,
